Supplier L Pricing For 4/26/2026,,,
Description,Variant Code,Price,Brand
ANISE 18,,50,ANDY BOY
APPLE COSMIC CRISP 56,,72,CMI
APPLE GOLDEN BLUSH 36 8KG,,28,LA TRENTINA
APPLE GRANNY 80,,66,CHENAIL
,P GREEN,66,INDEPENDENT
APPLE PINK LADY 80,,64,CMI
APPLE RED DEL 80,,58,REMBRANDT
APPLE ROYAL GALA 80,,90,CMI
,,,REMBRANDT
APPLE TESSA 80/88,,55,CHENAIL
,,,TESSA
APRICOT PP 162,,95,FLAVOR FARMER
,,,FLAVORTREE
ARTICHOKE 18,,57,OCEAN MIST
ARTICHOKE 24,,57,OCEAN MIST
ARTICHOKE JERUSALEM ,,45,DEN BOER
ARTICHOKE LOOSE 40 LB,,100,OCEAN MIST
ARTICHOKE PURPLE 18,,57,OCEAN MIST
ASPARAGUS 11 LB LARGE,,84,PEACOCK
ASPARAGUS 11 LB STANDARD,,82,PEACOCK
ASPARAGUS WHITE,,89,GENERIC
ATEMOYA 4KG,,35,HMV
AVOCADO 16,,18,FLAVACADO
,,,FLAVOCADO
AVOCADO 32,,48,FLAVACADO
AVOCADO 48,,54,FLAVACADO
,,,FLAVOCADO
,,,GENERIC
AVOCADO 5-14-BAG,,50,FLAVACADO
,,,MISSION
,MEXICO,42,AVO VALUE
AVOCADO 60,MEXICO,46,AVO VALUE
AVOCADO 6-14-BAG,,46,GENERIC
BANANA #1,,32,DOLE
,FYFFES,30,FYFFES
BANANA #1 NO GAS,,32,DOLE
,SPECIAL,32,DOLE
BANANA BABY,,27,DOLE
BANANA MANZANO,,32,FYFFES
BANANA PLANTAIN,,62,DOLE
BANANA RED,,28,DOLE
BASIL 12,,11,BONCHEFF
,,,J.D. FRESH HERBS
BEAN FRENCH 680G,,46,AGRI
,,,PURE FRESH
,,,SERENA
,,,UNIESPECIES
BEAN FRENCH GREEN,,52,AGRI
,,,PURE FRESH
,,,SERENA
,,,UNIESPECIES
,B LOT,52,UNIESPECIES
BEAN GREEN H.P.,,35,5 BROTHERS
,SPECIAL,35,5 BROTHERS
BEAN GREEN MEXICAN H.P.,,42,CARROUSEL
BEAN RUNNER,,55,GENERIC
,,,KAMPO
BEET BUNCH 24CT,,17,JJ LOOP
,,,LITTLE BEAR
BEET LOOSE 25LB,,30,GAMBLES
BLACKBERRY 6OZ,GREEN DOLE,18,DOLE
,GREEN DRIS,24,DRISCOLL'S
,P GREEN,12,MAINLAND
BLUEBERRY 1/2 PT,P GREEN,44,BEAUTIES
,,,LADY B
,SPECIAL,12,BEAUTIES
BLUEBERRY FULL PT,P GREEN,72,ALWAYS FRESH
BROCCOLI 14,HARVSTHOLD,40,MARTORI
BROCCOLI 18,ANDY BOY,88,ANDY BOY
,HARVSTHOLD,36,MARTORI
BROCCOLI CROWN,,46,MR. LUCKY
BROCCOLINI,,46,ANDY BOY
BRUSSEL SPROUTS ICED,,62,ALTAR
,,,BALOIAN
,,,OAK CANYON
,,,PINOS
,A SIZE,40,OAK CANYON
,SPECIAL,17,CIRCLE
CABBAGE GREEN 16,LOCAL,23,CAULI ONE
CABBAGE GREEN FLAT,,64,MANLEY
CABBAGE RED 12,LOCAL,28,CAULI ONE
CABBAGE RED 16,LOCAL,30,CAULI ONE
CABBAGE SAVOY 12,LOCAL,30,CAULI ONE
CABBAGE SAVOY 16,LOCAL,30,CAULI ONE
CANTALOUPE 12,,33,SOL
CANTALOUPE 9 JBO,,34,SOL
,SPECIAL,15,SOL
CARDONE,,90,JOE'S
CARROT BABY PEELED 12X1LB,,80,CARROUSEL
CARROT BUNCH,,50,GRIMMWAY
CASSAVA 35LBS,,48,GENERIC
CAULIFLOWER 12,ANDY BOY,64,ANDY BOY
,MEXICO,78,CARROUSEL
CAULIFLOWER 9,,78,ANDY BOY
,,,OCEAN MIST
,ANDY BOY,64,ANDY BOY
,MEXICO,78,CARROUSEL
CAULIFLOWER GREEN,,55,NATURES REWARD
CAULIFLOWER ORANGE,,65,NATURES REWARD
